Post Date,Account Number,Account Name,Type,Amount,Customer Reference,Transaction Detail,Balance
21/11/2025,309455-45002268 GBP,"LIQUIDLINE LIMITED","Opening Ledger",887368.10,,,887368.10
21/11/2025,309455-45002268 GBP,"LIQUIDLINE LIMITED","Faster Payment",414.79,"FTI CONSULTING LLP","FTI CONSULTING LLPSI-794931 SC-2257859000217092559000N500000     40     21NOV25 00:02     ",887782.89
21/11/2025,309455-45002268 GBP,"LIQUIDLINE LIMITED","Bank Giro Credit",68.04,"CVSUK             ","CVS UK LIMITED    CVSUK             ",887850.93
21/11/2025,309455-45002268 GBP,"LIQUIDLINE LIMITED","Bank Giro Credit",92.16,,"ENVIRONMENTAL RESO",887943.09
21/11/2025,309455-45002268 GBP,"LIQUIDLINE LIMITED","Bank Giro Credit",92.28,"TRAXD1338840 21937","COFRA LONDON LIMITTRAXD1338840 21937",888035.37
21/11/2025,309455-45002268 GBP,"LIQUIDLINE LIMITED","Bank Giro Credit",95.39,"BANK163 6         ","CINCH CARS LIMITEDBANK163/6         ",888130.76
21/11/2025,309455-45002268 GBP,"LIQUIDLINE LIMITED","Bank Giro Credit",96.92,"0                 ","THE CROWN ESTATE  0                 ",888227.68
21/11/2025,309455-45002268 GBP,"LIQUIDLINE LIMITED","Bank Giro Credit",121.37,"LIQLIN001         ","FREIGHTLINER LTD  LIQLIN001         ",888349.05
21/11/2025,309455-45002268 GBP,"LIQUIDLINE LIMITED","Bank Giro Credit",123.64,"SI-770108         ","CONSORTIUM TRUST  SI-770108         ",888472.69
21/11/2025,309455-45002268 GBP,"LIQUIDLINE LIMITED","Bank Giro Credit",124.66,"REIGATE GRAMMAR   ","REIGATE GRAMMAR SCREIGATE GRAMMAR   ",888597.35
21/11/2025,309455-45002268 GBP,"LIQUIDLINE LIMITED","Bank Giro Credit",142.10,,"BRODERICK GROUP L ",888739.45
21/11/2025,309455-45002268 GBP,"LIQUIDLINE LIMITED","Bank Giro Credit",151.78,"SI-795596         ","JULIUS BAER INTL LSI-795596         ",888891.23
21/11/2025,309455-45002268 GBP,"LIQUIDLINE LIMITED","Bank Giro Credit",166.13,"17890 OCT25       ","MOTEST SOUTHERN LI17890 OCT25       ",889057.36
21/11/2025,309455-45002268 GBP,"LIQUIDLINE LIMITED","Bank Giro Credit",173.22,"SANDLES 13436     ","SANDLES LTD       SANDLES 13436     ",889230.58
21/11/2025,309455-45002268 GBP,"LIQUIDLINE LIMITED","Bank Giro Credit",174.00,"23189             ","DUNLOP HEYWOOD    23189             ",889404.58
21/11/2025,309455-45002268 GBP,"LIQUIDLINE LIMITED","Bank Giro Credit",174.00,"4001 0002053786 K ","BAM NUTTALL LTD   4001 0002053786 K ",889578.58
21/11/2025,309455-45002268 GBP,"LIQUIDLINE LIMITED","Bank Giro Credit",178.30,"SI-785307         ","RIG L LTD         SI-785307         ",889756.88
21/11/2025,309455-45002268 GBP,"LIQUIDLINE LIMITED","Bank Giro Credit",179.09,"20718             ","QUAY GARAGE COMPAN20718             ",889935.97
21/11/2025,309455-45002268 GBP,"LIQUIDLINE LIMITED","Bank Giro Credit",182.29,"SFM -LIQUIDLINE LI","UK - OCS M E SERVISFM -LIQUIDLINE LI",890118.26
21/11/2025,309455-45002268 GBP,"LIQUIDLINE LIMITED","Bank Giro Credit",188.11,"SI-789356         ","SPECIALIST RISK GRSI-789356         ",890306.37
21/11/2025,309455-45002268 GBP,"LIQUIDLINE LIMITED","Bank Giro Credit",200.25,,"PD PORTS SERVICES ",890506.62
21/11/2025,309455-45002268 GBP,"LIQUIDLINE LIMITED","Bank Giro Credit",205.12,"2000168968        ","RED BULL CO. LTD  2000168968        ",890711.74
21/11/2025,309455-45002268 GBP,"LIQUIDLINE LIMITED","Bank Giro Credit",206.30,"SI-785652         ","THE GYM LIMITED   SI-785652         ",890918.04
21/11/2025,309455-45002268 GBP,"LIQUIDLINE LIMITED","Bank Giro Credit",214.66,"SI-785764         ","MATTEL UK LTD     SI-785764         ",891132.70
21/11/2025,309455-45002268 GBP,"LIQUIDLINE LIMITED","Bank Giro Credit",232.81,"EUK PR211125 05   ","ENVISAGE DENTAL UKEUK PR211125 05   ",891365.51
21/11/2025,309455-45002268 GBP,"LIQUIDLINE LIMITED","Bank Giro Credit",236.92,"BACS REMITTANCE PL","AUDI LEICESTER    BACS REMITTANCE PL",891602.43
21/11/2025,309455-45002268 GBP,"LIQUIDLINE LIMITED","Bank Giro Credit",239.01,"SI-793112         ","GROSVENOR ESTATE  SI-793112         ",891841.44
21/11/2025,309455-45002268 GBP,"LIQUIDLINE LIMITED","Bank Giro Credit",250.32,"SI784653          ","EXOLUM EASTHAM    SI784653          ",892091.76
21/11/2025,309455-45002268 GBP,"LIQUIDLINE LIMITED","Bank Giro Credit",254.64,"SI-782507         ","COSTELLO MED CON LSI-782507         ",892346.40
21/11/2025,309455-45002268 GBP,"LIQUIDLINE LIMITED","Bank Giro Credit",259.24,"7613203           ","RPS CONSULTING SER7613203           ",892605.64
21/11/2025,309455-45002268 GBP,"LIQUIDLINE LIMITED","Bank Giro Credit",270.26,"SI-786438         ","LCC ACCTS PAYABLE SI-786438         ",892875.90
21/11/2025,309455-45002268 GBP,"LIQUIDLINE LIMITED","Bank Giro Credit",280.80,"HEX BACS          ","RM CURTIS AND CO LHEX BACS          ",893156.70
