Post Date,Account Number,Account Name,Type,Amount,Customer Reference,Transaction Detail,Balance
06/11/2025,309455-45002268 GBP,"LIQUIDLINE LIMITED","Opening Ledger",606204.81,,,606204.81
06/11/2025,309455-45002268 GBP,"LIQUIDLINE LIMITED","Bank Giro Credit",24.22,"10518             ","LINEAR BUILDING IN10518             ",606229.03
06/11/2025,309455-45002268 GBP,"LIQUIDLINE LIMITED","Bank Giro Credit",57.31,,"AB AGRI LTD       ",606286.34
06/11/2025,309455-45002268 GBP,"LIQUIDLINE LIMITED","Bank Giro Credit",78.00,"3056 2000297932 K ","HYSTER-YALE UK LTD3056 2000297932 K ",606364.34
06/11/2025,309455-45002268 GBP,"LIQUIDLINE LIMITED","Bank Giro Credit",119.20,,"PANDO FM LTD      ",606483.54
06/11/2025,309455-45002268 GBP,"LIQUIDLINE LIMITED","Bank Giro Credit",173.92,"10262545          ","GK B&R AP ACCOUNT 10262545          ",606657.46
06/11/2025,309455-45002268 GBP,"LIQUIDLINE LIMITED","Bank Giro Credit",175.92,"UK01-25-2002836925","SMURFIT KAPPA UK LUK01-25-2002836925",606833.38
06/11/2025,309455-45002268 GBP,"LIQUIDLINE LIMITED","Bank Giro Credit",183.35,"CLELANDS          ","CLELANDS          CLELANDS          ",607016.73
06/11/2025,309455-45002268 GBP,"LIQUIDLINE LIMITED","Bank Giro Credit",199.38,"BACS PAYMENT      ","SPECFLUE LTD      BACS PAYMENT      ",607216.11
06/11/2025,309455-45002268 GBP,"LIQUIDLINE LIMITED","Bank Giro Credit",217.81,"SI-784857         ","NORDIC CAPITAL INVSI-784857         ",607433.92
06/11/2025,309455-45002268 GBP,"LIQUIDLINE LIMITED","Bank Giro Credit",236.88,"DALKIA FACILITIES ","DALKIA FACILITIES DALKIA FACILITIES ",607670.80
06/11/2025,309455-45002268 GBP,"LIQUIDLINE LIMITED","Bank Giro Credit",252.00,"TRANSFER          ","FRONERI ICE CREAM TRANSFER          ",607922.80
06/11/2025,309455-45002268 GBP,"LIQUIDLINE LIMITED","Bank Giro Credit",252.20,"8345200000422825  ","HIKVISION UK LIMIT8345200000422825  ",608175.00
06/11/2025,309455-45002268 GBP,"LIQUIDLINE LIMITED","Bank Giro Credit",270.84,"GP1 TOY BASINGSTOK","GROUP 1 RETAIL LTDGP1 TOY BASINGSTOK",608445.84
06/11/2025,309455-45002268 GBP,"LIQUIDLINE LIMITED","Bank Giro Credit",373.74,"BACS0005824       ","WILLMOTT DIXON HOLBACS0005824       ",608819.58
06/11/2025,309455-45002268 GBP,"LIQUIDLINE LIMITED","Bank Giro Credit",394.76,"SI-782338         ","ANALOG DEVICES LTDSI-782338         ",609214.34
06/11/2025,309455-45002268 GBP,"LIQUIDLINE LIMITED","Bank Giro Credit",404.06,"GBP               ","BNP PARIBAS LONDONGBP               ",609618.40
06/11/2025,309455-45002268 GBP,"LIQUIDLINE LIMITED","Bank Giro Credit",443.02,"P LEDGER 763      ","AD BLY CONSTRUCT BP/LEDGER 763      ",610061.42
