Post Date,Account Number,Account Name,Type,Amount,Customer Reference,Transaction Detail,Balance
07/11/2025,309455-45002268 GBP,"LIQUIDLINE LIMITED","Opening Ledger",600561.10,,,600561.10
07/11/2025,309455-45002268 GBP,"LIQUIDLINE LIMITED","Bank Giro Credit",15.80,"SI-783329         ","LAND SECURITIES PRSI-783329         ",600576.90
07/11/2025,309455-45002268 GBP,"LIQUIDLINE LIMITED","Bank Giro Credit",18.49,"145917            ","FOOT ANSTEY       145917            ",600595.39
07/11/2025,309455-45002268 GBP,"LIQUIDLINE LIMITED","Bank Giro Credit",26.11,"INV SI-787034     ","NINJA THEORY LIMITINV SI-787034     ",600621.50
07/11/2025,309455-45002268 GBP,"LIQUIDLINE LIMITED","Bank Giro Credit",28.97,"INV SI-775271     ","NINJA THEORY LIMITINV SI-775271     ",600650.47
07/11/2025,309455-45002268 GBP,"LIQUIDLINE LIMITED","Bank Giro Credit",41.36,"BPDC-000002088-579","EPYX LIMITED      BPDC-000002088-579",600691.83
07/11/2025,309455-45002268 GBP,"LIQUIDLINE LIMITED","Bank Giro Credit",41.78,"SEE REMITTANCE    ","ADVISORY INSURANCESEE REMITTANCE    ",600733.61
07/11/2025,309455-45002268 GBP,"LIQUIDLINE LIMITED","Bank Giro Credit",54.06,,"LATHAMS BACS      ",600787.67
07/11/2025,309455-45002268 GBP,"LIQUIDLINE LIMITED","Bank Giro Credit",54.43,"EVERGREEN MARINE  ","EVERGREEN MARINE UEVERGREEN MARINE  ",600842.10
07/11/2025,309455-45002268 GBP,"LIQUIDLINE LIMITED","Bank Giro Credit",54.43,"101049            ","DENTEX CLINICAL LI101049            ",600896.53
07/11/2025,309455-45002268 GBP,"LIQUIDLINE LIMITED","Bank Giro Credit",60.51,"SI-777237         ","SPECIALIST RISK GRSI-777237         ",600957.04
07/11/2025,309455-45002268 GBP,"LIQUIDLINE LIMITED","Bank Giro Credit",61.20,"SI-772739         ","GREY SIMMONDS FOODSI-772739         ",601018.24
07/11/2025,309455-45002268 GBP,"LIQUIDLINE LIMITED","Bank Giro Credit",93.60,"COOPER & JACKSON  ","COOPER & JACKSON  COOPER & JACKSON  ",601111.84
07/11/2025,309455-45002268 GBP,"LIQUIDLINE LIMITED","Bank Giro Credit",111.84,"12827-DTSTRADI    ","DTSTRALTD         12827-DTSTRADI    ",601223.68
07/11/2025,309455-45002268 GBP,"LIQUIDLINE LIMITED","Bank Giro Credit",117.80,"STACMAT           ","ST THOMAS AQUINAS STACMAT           ",601341.48
