Post Date,Account Number,Account Name,Type,Amount,Customer Reference,Transaction Detail,Balance
28/11/2025,309455-45002268 GBP,"LIQUIDLINE LIMITED","Opening Ledger",1825142.97,,,1825142.97
28/11/2025,309455-45002268 GBP,"LIQUIDLINE LIMITED","Faster Payment",840.00,"THE INFORMATION LA","THE INFORMATION LA7173201333008211HN401160     10     28NOV25 00:33     ",1825982.97
28/11/2025,309455-45002268 GBP,"LIQUIDLINE LIMITED","Bank Giro Credit",15.00,"BMW MINI YEOVIL   ","YEOVIL            BMW/MINI YEOVIL   ",1825997.97
28/11/2025,309455-45002268 GBP,"LIQUIDLINE LIMITED","Bank Giro Credit",15.00,"PAISLEY PEUGEOT   ","B ST 4TH PAISLEY  PAISLEY PEUGEOT   ",1826012.97
28/11/2025,309455-45002268 GBP,"LIQUIDLINE LIMITED","Bank Giro Credit",15.00,"BACS REMITTANCE PL","PETERLEE HYUNDAI  BACS REMITTANCE PL",1826027.97
28/11/2025,309455-45002268 GBP,"LIQUIDLINE LIMITED","Bank Giro Credit",15.60,"V002658           ","BAGNALLS ADMIN    V002658           ",1826043.57
28/11/2025,309455-45002268 GBP,"LIQUIDLINE LIMITED","Bank Giro Credit",17.06,,"BDW ANGLIA        ",1826060.63
28/11/2025,309455-45002268 GBP,"LIQUIDLINE LIMITED","Bank Giro Credit",20.38,"CARRS FERRARI BACS","CARRS FERR        CARRS FERRARI BACS",1826081.01
28/11/2025,309455-45002268 GBP,"LIQUIDLINE LIMITED","Bank Giro Credit",20.40,"AP BACS 1         ","ACE PARTS         AP BACS 1         ",1826101.41
28/11/2025,309455-45002268 GBP,"LIQUIDLINE LIMITED","Bank Giro Credit",20.40,"VVS BACS RUN 2811 ","VERTU VEHICLE SO  VVS BACS RUN 2811 ",1826121.81
28/11/2025,309455-45002268 GBP,"LIQUIDLINE LIMITED","Bank Giro Credit",20.40,"VCR BACS 1        ","VAR LTD           VCR BACS 1        ",1826142.21
28/11/2025,309455-45002268 GBP,"LIQUIDLINE LIMITED","Bank Giro Credit",26.40,"BACS HONDA NEWCMOR","VERTU HONDA NORTH BACS HONDA NEWCMOR",1826168.61
28/11/2025,309455-45002268 GBP,"LIQUIDLINE LIMITED","Bank Giro Credit",28.50,"SI-793181         ","ECS LTD           SI-793181         ",1826197.11
28/11/2025,309455-45002268 GBP,"LIQUIDLINE LIMITED","Bank Giro Credit",28.51,"PER EMAIL         ","CLARKSON PORT SERVPER EMAIL         ",1826225.62
28/11/2025,309455-45002268 GBP,"LIQUIDLINE LIMITED","Bank Giro Credit",28.80,"ROOFING SUPPLIES G","ROOFING SUPPLIES GROOFING SUPPLIES G",1826254.42
28/11/2025,309455-45002268 GBP,"LIQUIDLINE LIMITED","Bank Giro Credit",28.80,"20560             ","ALLEN AND HEATH LI20560             ",1826283.22
28/11/2025,309455-45002268 GBP,"LIQUIDLINE LIMITED","Bank Giro Credit",29.78,,"WINDRUSH GARAGE L ",1826313.00
28/11/2025,309455-45002268 GBP,"LIQUIDLINE LIMITED","Bank Giro Credit",35.40,"BACS REMITTANCE PL","LEICESTER RENAUL  BACS REMITTANCE PL",1826348.40
28/11/2025,309455-45002268 GBP,"LIQUIDLINE LIMITED","Bank Giro Credit",35.40,"BYD HARTLEP NOV 25","HARTLEPOOL BYD    BYD HARTLEP NOV 25",1826383.80
28/11/2025,309455-45002268 GBP,"LIQUIDLINE LIMITED","Bank Giro Credit",35.40,"13243             ","NORTHAMPTON VAUXHA13243             ",1826419.20
28/11/2025,309455-45002268 GBP,"LIQUIDLINE LIMITED","Bank Giro Credit",35.40,"TX BACS 1         ","THE TAXI CENTRE   TX BACS 1         ",1826454.60
28/11/2025,309455-45002268 GBP,"LIQUIDLINE LIMITED","Bank Giro Credit",36.98,"PURCHASE PAYMENT  ","CALIBRO WORKSPACE PURCHASE PAYMENT  ",1826491.58
28/11/2025,309455-45002268 GBP,"LIQUIDLINE LIMITED","Bank Giro Credit",52.00,"481876            ","EEL               481876            ",1826543.58
28/11/2025,309455-45002268 GBP,"LIQUIDLINE LIMITED","Bank Giro Credit",52.39,"AS PER EMAIL      ","BRINOR INT SHIP LTAS PER EMAIL      ",1826595.97
28/11/2025,309455-45002268 GBP,"LIQUIDLINE LIMITED","Bank Giro Credit",55.80,"HONDA SOUTH       ","GRANTHAM M COM LTDHONDA SOUTH       ",1826651.77
28/11/2025,309455-45002268 GBP,"LIQUIDLINE LIMITED","Bank Giro Credit",61.20,"VARC BACS 1       ","VARC LTD S        VARC BACS 1       ",1826712.97
28/11/2025,309455-45002268 GBP,"LIQUIDLINE LIMITED","Bank Giro Credit",61.20,"HONDA SOUTH TYNE  ","HONDA SOUTH TYNE  HONDA SOUTH TYNE  ",1826774.17
28/11/2025,309455-45002268 GBP,"LIQUIDLINE LIMITED","Bank Giro Credit",61.80,"FORD MORP BACS    ","MORPETH BYD       FORD MORP BACS    ",1826835.97
28/11/2025,309455-45002268 GBP,"LIQUIDLINE LIMITED","Bank Giro Credit",62.28,"EVERGREEN MARINE  ","EVERGREEN MARINE UEVERGREEN MARINE  ",1826898.25
28/11/2025,309455-45002268 GBP,"LIQUIDLINE LIMITED","Bank Giro Credit",63.84,,"MARSHALL SKODA BED",1826962.09
28/11/2025,309455-45002268 GBP,"LIQUIDLINE LIMITED","Bank Giro Credit",66.14,"WATKIN JONES & SON","WATKIN JONES & SONWATKIN JONES & SON",1827028.23
28/11/2025,309455-45002268 GBP,"LIQUIDLINE LIMITED","Bank Giro Credit",67.08,"UNDERWOODS CLACTON","UNDERWOODS OF CLACUNDERWOODS CLACTON",1827095.31
28/11/2025,309455-45002268 GBP,"LIQUIDLINE LIMITED","Bank Giro Credit",68.04,"SI-781998         ","ECS LTD           SI-781998         ",1827163.35
28/11/2025,309455-45002268 GBP,"LIQUIDLINE LIMITED","Bank Giro Credit",68.70,"RRG BOLTON BACS   ","RRG GROUP LIMITED RRG BOLTON BACS   ",1827232.05
28/11/2025,309455-45002268 GBP,"LIQUIDLINE LIMITED","Bank Giro Credit",70.80,"BACS REMITTANCE PL","B ST 1ST SHIRLEY  BACS REMITTANCE PL",1827302.85
28/11/2025,309455-45002268 GBP,"LIQUIDLINE LIMITED","Bank Giro Credit",70.80,"BACS WEST BROM    ","B ST 1ST W BROM   BACS WEST BROM    ",1827373.65
28/11/2025,309455-45002268 GBP,"LIQUIDLINE LIMITED","Bank Giro Credit",75.89,"SI-785974         ","ECS LTD           SI-785974         ",1827449.54
28/11/2025,309455-45002268 GBP,"LIQUIDLINE LIMITED","Bank Giro Credit",81.88,"TOYOTA DERBY      ","GROUP 1 RETAIL LTDTOYOTA DERBY      ",1827531.42
28/11/2025,309455-45002268 GBP,"LIQUIDLINE LIMITED","Bank Giro Credit",82.20,"BACS 28112025     ","NOTT VOLKS SOUTH  BACS 28112025     ",1827613.62
28/11/2025,309455-45002268 GBP,"LIQUIDLINE LIMITED","Bank Giro Credit",84.46,"BCGB058095        ","BENEFIT COSMETICS BCGB058095        ",1827698.08
28/11/2025,309455-45002268 GBP,"LIQUIDLINE LIMITED","Bank Giro Credit",88.20,"BACS 28112025     ","VERTU VOLKSWAGEN  BACS 28112025     ",1827786.28
28/11/2025,309455-45002268 GBP,"LIQUIDLINE LIMITED","Bank Giro Credit",88.82,,"CONNECT VEND LTD  ",1827875.10
28/11/2025,309455-45002268 GBP,"LIQUIDLINE LIMITED","Bank Giro Credit",93.57,,"CADMAN CM GROUP   ",1827968.67
28/11/2025,309455-45002268 GBP,"LIQUIDLINE LIMITED","Bank Giro Credit",93.60,"JLR NELSON BACS   ","FARNELL NORTH WESTJLR NELSON BACS   ",1828062.27
28/11/2025,309455-45002268 GBP,"LIQUIDLINE LIMITED","Bank Giro Credit",94.92,"SI790903          ","ESSEX&HERTS AIR   SI790903          ",1828157.19
28/11/2025,309455-45002268 GBP,"LIQUIDLINE LIMITED","Bank Giro Credit",95.76,"AQUATERRA         ","AQUATERRA CURRENT AQUATERRA         ",1828252.95
28/11/2025,309455-45002268 GBP,"LIQUIDLINE LIMITED","Bank Giro Credit",96.60,"FORD NCL BACS     ","BS NEW F          FORD NCL BACS     ",1828349.55
28/11/2025,309455-45002268 GBP,"LIQUIDLINE LIMITED","Bank Giro Credit",96.83,"BACS SIL NOV      ","RRG GROUP LIMITED BACS SIL NOV      ",1828446.38
28/11/2025,309455-45002268 GBP,"LIQUIDLINE LIMITED","Bank Giro Credit",100.61,"14854             ","ST JOSEPHS EXPENSE14854             ",1828546.99
28/11/2025,309455-45002268 GBP,"LIQUIDLINE LIMITED","Bank Giro Credit",101.32,"PGR BACS          ","RRG GROUP LIMITED PGR BACS          ",1828648.31
28/11/2025,309455-45002268 GBP,"LIQUIDLINE LIMITED","Bank Giro Credit",105.38,"SI-793597         ","GOSBERTON HOUSE ACSI-793597         ",1828753.69
28/11/2025,309455-45002268 GBP,"LIQUIDLINE LIMITED","Bank Giro Credit",108.42,"BACS REMITTANCE PL","S&Y MAIDSTONE     BACS REMITTANCE PL",1828862.11
28/11/2025,309455-45002268 GBP,"LIQUIDLINE LIMITED","Bank Giro Credit",109.92,"4401259           ","HARROGATE HEALTHCA4401259           ",1828972.03
28/11/2025,309455-45002268 GBP,"LIQUIDLINE LIMITED","Bank Giro Credit",111.35,"LOCKMETAL LTD     ","LOCKMETAL LTD     LOCKMETAL LTD     ",1829083.38
28/11/2025,309455-45002268 GBP,"LIQUIDLINE LIMITED","Bank Giro Credit",111.76,"ACCOUNT 17113     ","BUSINESS MOVES    ACCOUNT 17113     ",1829195.14
28/11/2025,309455-45002268 GBP,"LIQUIDLINE LIMITED","Bank Giro Credit",116.45,"SAVILLS-B810098   ","SAVILLS UK LTD    SAVILLS-B810098   ",1829311.59
28/11/2025,309455-45002268 GBP,"LIQUIDLINE LIMITED","Bank Giro Credit",116.82,"SI-782322         ","V WT ELW GBP AC   SI-782322         ",1829428.41
28/11/2025,309455-45002268 GBP,"LIQUIDLINE LIMITED","Bank Giro Credit",118.14,"SI-789059         ","GOODMAN JONES OFFISI-789059         ",1829546.55
28/11/2025,309455-45002268 GBP,"LIQUIDLINE LIMITED","Bank Giro Credit",120.22,"10464             ","HARVEY ENG L      10464             ",1829666.77
28/11/2025,309455-45002268 GBP,"LIQUIDLINE LIMITED","Bank Giro Credit",122.40,"HONDA MIDLANDS    ","HONDA MIDLANDS    HONDA MIDLANDS    ",1829789.17
28/11/2025,309455-45002268 GBP,"LIQUIDLINE LIMITED","Bank Giro Credit",123.60,"DURHAM BACS       ","DURHAM BMW MINI   DURHAM BACS       ",1829912.77
28/11/2025,309455-45002268 GBP,"LIQUIDLINE LIMITED","Bank Giro Credit",125.16,,"MACFARLANE GROUP U",1830037.93
28/11/2025,309455-45002268 GBP,"LIQUIDLINE LIMITED","Bank Giro Credit",126.00,"CBW RESOURCES LTD ","AMCO              CBW RESOURCES LTD ",1830163.93
28/11/2025,309455-45002268 GBP,"LIQUIDLINE LIMITED","Bank Giro Credit",126.91,"SI-789028 CDP WW  ","CDP WORLDWIDE     SI-789028 CDP WW  ",1830290.84
28/11/2025,309455-45002268 GBP,"LIQUIDLINE LIMITED","Bank Giro Credit",127.68,,"MMG SKODA NOTTINGH",1830418.52
28/11/2025,309455-45002268 GBP,"LIQUIDLINE LIMITED","Bank Giro Credit",127.94,"EPRL PAYMENT RUN  ","EPR LTD           EPRL PAYMENT RUN  ",1830546.46
28/11/2025,309455-45002268 GBP,"LIQUIDLINE LIMITED","Bank Giro Credit",129.00,"1510 2000046130 K ","ASSOCIATED BRITISH1510 2000046130 K ",1830675.46
28/11/2025,309455-45002268 GBP,"LIQUIDLINE LIMITED","Bank Giro Credit",132.31,"SI-785977         ","MID&NORTH E M     SI-785977         ",1830807.77
28/11/2025,309455-45002268 GBP,"LIQUIDLINE LIMITED","Bank Giro Credit",132.72,"24372             ","YARDMINSTER LIMITE24372             ",1830940.49
28/11/2025,309455-45002268 GBP,"LIQUIDLINE LIMITED","Bank Giro Credit",132.90,"THAMES T WELLS    ","TMG TUNBRIDGE W  BTHAMES T/WELLS    ",1831073.39
28/11/2025,309455-45002268 GBP,"LIQUIDLINE LIMITED","Bank Giro Credit",133.95,"ALTY BACS RUN     ","RRG GROUP LIMITED ALTY BACS RUN     ",1831207.34
28/11/2025,309455-45002268 GBP,"LIQUIDLINE LIMITED","Bank Giro Credit",134.16,"SI789710-SI794148 ","AMERICAN AIRLINES SI789710-SI794148 ",1831341.50
28/11/2025,309455-45002268 GBP,"LIQUIDLINE LIMITED","Bank Giro Credit",135.48,"LANDMARK INFORMATI","LANDMARK INFORMATILANDMARK INFORMATI",1831476.98
28/11/2025,309455-45002268 GBP,"LIQUIDLINE LIMITED","Bank Giro Credit",138.21,"SI-786878         ","WASHCO  MAIN ACCOUSI-786878         ",1831615.19
28/11/2025,309455-45002268 GBP,"LIQUIDLINE LIMITED","Bank Giro Credit",140.45,,"PD PORTS SERVICES ",1831755.64
28/11/2025,309455-45002268 GBP,"LIQUIDLINE LIMITED","Bank Giro Credit",141.42,"G&T LLP           ","G & T LLP         G&T LLP           ",1831897.06
28/11/2025,309455-45002268 GBP,"LIQUIDLINE LIMITED","Bank Giro Credit",142.90,"LIQ001            ","TCLARKE GROUP     LIQ001            ",1832039.96
28/11/2025,309455-45002268 GBP,"LIQUIDLINE LIMITED","Bank Giro Credit",142.90,"20345             ","R2C ONLINE L      20345             ",1832182.86
28/11/2025,309455-45002268 GBP,"LIQUIDLINE LIMITED","Bank Giro Credit",150.00,"SC-SPT-100389629-5","SOMERSET COUNCIL PSC-SPT-100389629-5",1832332.86
28/11/2025,309455-45002268 GBP,"LIQUIDLINE LIMITED","Bank Giro Credit",153.14,"PORSCHE NORWICH   ","LIND AG LIMITED   PORSCHE NORWICH   ",1832486.00
28/11/2025,309455-45002268 GBP,"LIQUIDLINE LIMITED","Bank Giro Credit",154.62,,"MARSHALL PETERBORO",1832640.62
28/11/2025,309455-45002268 GBP,"LIQUIDLINE LIMITED","Bank Giro Credit",154.92,"THE MEATH EPILEPSY","MEATH EPILEPSY CHATHE MEATH EPILEPSY",1832795.54
28/11/2025,309455-45002268 GBP,"LIQUIDLINE LIMITED","Bank Giro Credit",156.00,"UCS COLLEGE GROUP ","UCS COLLEGE GROUP UCS COLLEGE GROUP ",1832951.54
28/11/2025,309455-45002268 GBP,"LIQUIDLINE LIMITED","Bank Giro Credit",156.88,"0000071511        ","GUTTERIDGE HASKINS0000071511        ",1833108.42
28/11/2025,309455-45002268 GBP,"LIQUIDLINE LIMITED","Bank Giro Credit",157.09,"BACS REMITTANCE PL","BEADLES SEVENOAKSLBACS REMITTANCE PL",1833265.51
28/11/2025,309455-45002268 GBP,"LIQUIDLINE LIMITED","Bank Giro Credit",157.34,"TOYOTA NOTTINGHAM ","GROUP 1 RETAIL LTDTOYOTA NOTTINGHAM ",1833422.85
28/11/2025,309455-45002268 GBP,"LIQUIDLINE LIMITED","Bank Giro Credit",158.58,"INV PMT           ","DIBA IND LTD      INV PMT           ",1833581.43
28/11/2025,309455-45002268 GBP,"LIQUIDLINE LIMITED","Bank Giro Credit",159.67,"GP1 LEX LIV       ","BEADLES LEXUS LI  GP1 LEX LIV       ",1833741.10
28/11/2025,309455-45002268 GBP,"LIQUIDLINE LIMITED","Bank Giro Credit",160.20,"RUISLIP BMW BACS  ","BMW SPIRE RUISLI  RUISLIP BMW BACS  ",1833901.30
28/11/2025,309455-45002268 GBP,"LIQUIDLINE LIMITED","Bank Giro Credit",161.26,"ASTON BARCLAY LTD ","ASTON BARCLAY LTD ASTON BARCLAY LTD ",1834062.56
28/11/2025,309455-45002268 GBP,"LIQUIDLINE LIMITED","Bank Giro Credit",161.88,"ROYAL COLLECTION T","ROYAL COLLECTION T",1834224.44
28/11/2025,309455-45002268 GBP,"LIQUIDLINE LIMITED","Bank Giro Credit",162.40,"BACS REMITTANCE PL","OXFORD LAND ROVER BACS REMITTANCE PL",1834386.84
28/11/2025,309455-45002268 GBP,"LIQUIDLINE LIMITED","Bank Giro Credit",162.64,"TOYOTA SANDHURST  ","GROUP 1 RETAIL LTDTOYOTA SANDHURST  ",1834549.48
28/11/2025,309455-45002268 GBP,"LIQUIDLINE LIMITED","Bank Giro Credit",164.78,"BACS REMITTANCE PL","TF FARNBOROUGH    BACS REMITTANCE PL",1834714.26
28/11/2025,309455-45002268 GBP,"LIQUIDLINE LIMITED","Bank Giro Credit",165.18,"16695             ","OUTLOOK CARE      16695             ",1834879.44
28/11/2025,309455-45002268 GBP,"LIQUIDLINE LIMITED","Bank Giro Credit",168.85,"BEECHFIELD BRANDS ","BEECHFIELD BRANDS BEECHFIELD BRANDS ",1835048.29
28/11/2025,309455-45002268 GBP,"LIQUIDLINE LIMITED","Bank Giro Credit",171.71,"TOYOTA WARRINGTON ","GROUP 1 RETAIL LTDTOYOTA WARRINGTON ",1835220.00
28/11/2025,309455-45002268 GBP,"LIQUIDLINE LIMITED","Bank Giro Credit",173.15,"RRG MAZDA SPORT   ","RRG GROUP LIMITED RRG MAZDA SPORT   ",1835393.15
28/11/2025,309455-45002268 GBP,"LIQUIDLINE LIMITED","Bank Giro Credit",173.84,"SC225894 SI787661 ","JACOBS UK LIMITED SC225894 SI787661 ",1835566.99
28/11/2025,309455-45002268 GBP,"LIQUIDLINE LIMITED","Bank Giro Credit",174.00,"M        V        ","MILLSONS VEN      M        V        ",1835740.99
28/11/2025,309455-45002268 GBP,"LIQUIDLINE LIMITED","Bank Giro Credit",175.42,"20162             ","AYR TOYOTA        20162             ",1835916.41
28/11/2025,309455-45002268 GBP,"LIQUIDLINE LIMITED","Bank Giro Credit",177.72,"BACS REMITTANCE PL","COLCHESTER AUDI   BACS REMITTANCE PL",1836094.13
28/11/2025,309455-45002268 GBP,"LIQUIDLINE LIMITED","Bank Giro Credit",179.09,"SL4344X           ","KWIK-FIT  GB  AP  SL4344X           ",1836273.22
28/11/2025,309455-45002268 GBP,"LIQUIDLINE LIMITED","Bank Giro Credit",180.38,"CONCERTUS DERBY BI","CONCERTUS DERBYS  CONCERTUS DERBY BI",1836453.60
28/11/2025,309455-45002268 GBP,"LIQUIDLINE LIMITED","Bank Giro Credit",180.42,"PI-0213376        ","BARRON MCCANN LT  PI-0213376        ",1836634.02
